exp_name,chkp_name,comment,split_path,Mean Roc AUC,OOF Roc AUC,Folds Roc AUC,Public,Public comment
convnextv2_tiny_fcmae_ft_in22k_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e4_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds,Best,5 sec train audio pred,cv_split_basev1.npy,0.981120358238276,0.9759464820810512,"[0.9781906685043705, 0.9801255959732124, 0.9814172984523658, 0.9855119011486089, 0.9803563271128226]",0.82,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds,Best,5 sec train audio pred,cv_split_basev1.npy,0.983472639016602,0.977989755948942,"[0.9798682854800943, 0.9841351285853469, 0.9862784134674089, 0.9858864334549692, 0.9811949340951912]",0.827,Openvino FP16 + 5 Folds Mean
convnextv2_tiny_fcmae_ft_in22k_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e4_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds_ScoredPrevComps,Best,5 sec train audio pred,cv_split_base_and_prev_comps.npy,0.9805682931070976,0.9725090444585532,"[0.9791606125979209, 0.9815606683566805, 0.977469873342237, 0.9826716014232414, 0.9819787098154088]",0.824,Openvino FP16 + 5 Folds Mean
convnext_small_fb_in22k_ft_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e4_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds_ScoredPrevComps,Best,5 sec train audio pred,cv_split_base_and_prev_comps.npy,0.9801070306009532,0.9729580900155022,"[0.9778472336379632, 0.9799773879534882, 0.9803999235078553, 0.9807944851356337, 0.9815161227698249]",0.826,Openvino FP16 + 5 Folds Mean
convnext_small_fb_in22k_ft_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds_ScoredPrevComps,Best,5 sec train audio pred,cv_split_base_and_prev_comps.npy,0.9826350988214456,0.979316295339653,"[0.9788666942852188, 0.9827493212685846, 0.9838513894994666, 0.9845202836165204, 0.9831878054374389]",0.822,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9766388140565894,0.9720423910942092,"[0.9776977933966634, 0.9707136350052811, 0.9747222507518238, 0.980660666289183, 0.9793997248399962]",0.834,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,3 SWA,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9775112580652576,0.9739611216165694,"[0.9793541524063096, 0.9707657092688654, 0.9750005010040292, 0.9813759055494319, 0.9810600220976506]",0.834,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Last,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9738966845786632,0.9707604567395584,"[0.9744542231400951, 0.9688736961617529, 0.9707102376227313, 0.9792200045894593, 0.976225261379278]",0.838,Openvino FP16 + 5 Folds Mean
convnext_small_fb_in22k_ft_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e4_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9739183037215288,0.9606735423559998,"[0.9730335946743082, 0.9683099042856781, 0.9675216314687517, 0.9814806982042206, 0.9792456899746861]",0.831,Openvino FP16 + 5 Folds Mean
convnext_small_fb_in22k_ft_in1k_384_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e4_CosBatchLR1e6_Epoch50_SpecAugV1_FocalLoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPrV1,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9743868501481632,0.9599079651170171,"[0.972705961604743, 0.9711596209563734, 0.9701669047299543, 0.9808153121726321, 0.9770864512771132]",0.829,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPrV1,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9776431910109912,0.9703263178263798,"[0.979009926660044, 0.9738242669898327, 0.9744917743741637, 0.9808984710785825, 0.9799915159523326]",0.831,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9769744969070798,0.9713245747175312,"[0.9770543027486566, 0.975075991574682, 0.970849773731946, 0.9805779583862152, 0.9813144580938992]",0.839,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_TimeFlip05_Montage0til5A05_UnlabeledP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.969573154774317,0.9620828608808292,"[0.9709795037983984, 0.9669386994434416, 0.9630112148650604, 0.9730292236847135, 0.9739071320799717]",0.598,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_b1_in1k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9742493326865992,0.9685164333047432,"[0.9779789963207858, 0.9686821399730835, 0.9699523771770028, 0.9780192784241212, 0.9766138715380035]",0.821,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_Montage0til5A05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9708799800512796,0.9628950914155336,"[0.968286208094161, 0.9649349752842349, 0.9662146051732619, 0.9776467232636619, 0.977317388441078]",0.831,Openvino FP16 + 5 Folds Mean
eca_nfnet_l1_Exp_DPR02_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9765713948540377,0.9685460175017292,"[0.9759372374741295, 0.971754287252463, 0.9720318625761477, 0.9816874938857157, 0.9814460930817313]",0.838,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_s_in21k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9785155463937056,0.9707204674885628,"[0.9788595642680179, 0.9743923260095271, 0.9780812479227439, 0.9798203398032658, 0.9814242539649732]",0.843,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPreca4,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9813887728467254,0.97024615748199,"[0.9834272442169079, 0.9797034215266522, 0.9737389671745181, 0.9848359872763649, 0.9852382440391843]",0.869,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9830365509611874,0.9770014918061108,"[0.9855376755364409, 0.9812377360224693, 0.9761573028624047, 0.9852983120309508, 0.9869517283536707]",0.866,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPreca4_CurV1,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9822196510944728,0.9751395711991264,"[0.9802045741033965, 0.9806994337033568, 0.9793914168974688, 0.9850018407555056, 0.9858009900126364]",0.867,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_UnlabeledP03_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPreca4,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9814541569273318,0.9764815997346036,"[0.981005012227789, 0.9818570396048152, 0.9740746403068473, 0.9851279100771542, 0.9852061824200534]",0.661,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last_PseudoV1PT05MT01P04,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9850258117798856,0.9805045522832502,"[0.9889595958194705, 0.9816943596150443, 0.978066371295339, 0.9885780132380624, 0.9878307189315118]",0.893,Openvino FP16 + 5 Folds Mean
eca_nfnet_l1_Exp_DPR02_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.984100973914971,0.9796576073803728,"[0.9854471374826683, 0.9835137574520114, 0.9771997366876602, 0.9870788721183209, 0.9872653658341941]",0.879,Openvino FP16 + 5 Folds Mean
eca_nfnet_l1_Exp_DPR02_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last_PseudoV2PT05MT01P05,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.984419855772702,0.9822011756595124,"[0.988947334222785, 0.9833569429820975, 0.9754812472325152, 0.9863769019655716, 0.9879368524605401]",0.892,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_s_in21k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SR22050_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.974664263487108,0.9676024357286634,"[0.9770385057297241, 0.971278996875346, 0.9679508725522764, 0.9784682593140378, 0.9785846829641551]",0.83,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_LSF1005_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last_PseudoF1PT05MT01P04,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9867302128698278,0.983856205505154,"[0.9899049703982452, 0.9845548668685109, 0.9824418702000256, 0.9889839405174389, 0.9877654163649185]",0.895,Openvino FP16 + 5 Folds Mean
eca_nfnet_l1_Exp_DPR02_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last_PseudoV1PT05MT01P04,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9853037070204552,0.982068401281234,"[0.986301682260753, 0.9860384402295851, 0.9770618406205814, 0.9879726002436034, 0.9891439717477539]",0.891,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_s_in21k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_AdamW1e4_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromV2Y2025Last,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9801301932937218,0.9671582228542294,"[0.976272939896992, 0.9803876666042911, 0.9723650862675168, 0.9854788631771337, 0.9861464105226753]",0.852,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_s_in21k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SR22050_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_GenFilOver,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9749063368977152,0.9693851510798698,"[0.9797155465408727, 0.9693650868194541, 0.9688655215785764, 0.978820484908734, 0.9777650446409393]",0.845,Openvino FP16 + 5 Folds Mean
tf_efficientnetv2_s_in21k_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SR22050_SpecAugV1_FocalBCELoss_5Folds_ScoredPrevCompsAndXCsnipet28032025_GenUni,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.976244761915223,0.9684037699218097,"[0.9783624634846105, 0.9704733839835663, 0.9722520014221796, 0.9809371944652365, 0.9791987662205215]",0.847,Openvino FP16 + 5 Folds Mean
eca_nfnet_l0_Exp_noamp_64bs_5sec_mixupP05_RandomFiltering_SqrtBalancing_Radamlr1e3_CosBatchLR1e6_Epoch50_BackGroundSoundScapeORESC50P05_SpecAugV1_FocalBCELoss_LSF1005_5Folds_ScoredPrevCompsAndXCsnipet28032025_FromPreca4_PseudoF1PT05MT01P04,Best,5 sec train audio pred,cv_split_base_and_prev_comps_XCsnipet28032025_group_allbirds_hdf5.npy,0.9844966190426453,0.9800297570694586,"[0.9832490582683545, 0.9840540563284346, 0.982248254768421, 0.9871736882633729, 0.9857580375846432]",,
